<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.26	11:20:00	8542.9	8550.0	8542.4	8549.8	300	0	1
2025.02.26	11:25:00	8549.9	8550.4	8548.3	8550.2	300	0	1
2025.02.26	11:30:00	8550.1	8550.4	8546.8	8547.4	300	0	1
2025.02.26	11:35:00	8547.3	8547.4	8543.3	8544.2	300	0	1
2025.02.26	11:40:00	8544.1	8544.2	8539.1	8539.2	300	0	1
2025.02.26	11:45:00	8539.3	8539.8	8538.1	8538.6	300	0	1
2025.02.26	11:50:00	8538.5	8538.7	8535.9	8537.4	300	0	1
2025.02.26	11:55:00	8537.5	8540.0	8537.4	8538.0	300	0	1
2025.02.26	12:00:00	8538.1	8538.6	8536.7	8538.6	300	0	1
2025.02.26	12:05:00	8538.7	8538.9	8536.3	8536.4	300	0	1
2025.02.26	12:10:00	8536.5	8537.0	8535.1	8536.2	300	0	1
2025.02.26	12:15:00	8536.3	8537.8	8534.6	8535.6	300	0	1
2025.02.26	12:20:00	8535.5	8535.7	8533.3	8535.4	300	0	1
2025.02.26	12:25:00	8535.5	8535.5	8533.8	8534.6	300	0	1
2025.02.26	12:30:00	8534.7	8535.2	8531.8	8532.6	300	0	1
2025.02.26	12:35:00	8532.7	8537.4	8532.7	8536.8	300	0	1
2025.02.26	12:40:00	8536.9	8539.0	8536.8	8537.2	300	0	1
2025.02.26	12:45:00	8537.3	8537.5	8535.6	8536.2	300	0	1
2025.02.26	12:50:00	8536.1	8538.8	8535.8	8538.8	300	0	1
2025.02.26	12:55:00	8538.9	8540.8	8538.6	8540.6	300	0	1
2025.02.26	13:00:00	8540.5	8540.7	8537.3	8537.6	300	0	1
2025.02.26	13:05:00	8537.7	8538.2	8535.6	8535.8	300	0	1
2025.02.26	13:10:00	8535.9	8536.0	8534.1	8536.0	300	0	1
2025.02.26	13:15:00	8536.1	8536.5	8534.8	8535.0	300	0	1
2025.02.26	13:20:00	8534.9	8536.6	8533.0	8536.6	300	0	1
2025.02.26	13:25:00	8536.5	8537.3	8535.3	8536.8	300	0	1
2025.02.26	13:30:00	8536.9	8536.9	8533.2	8534.0	300	0	1
2025.02.26	13:35:00	8534.1	8536.2	8533.3	8535.4	300	0	1
2025.02.26	13:40:00	8535.5	8537.9	8535.4	8537.4	300	0	1
2025.02.26	13:45:00	8537.5	8540.7	8537.3	8540.4	300	0	1
2025.02.26	13:50:00	8540.5	8541.0	8538.1	8538.4	300	0	1
2025.02.26	13:55:00	8538.5	8539.3	8535.7	8536.0	300	0	1
2025.02.26	14:00:00	8536.1	8537.6	8535.7	8537.4	300	0	1
2025.02.26	14:05:00	8537.3	8537.8	8536.3	8537.0	300	0	1
2025.02.26	14:10:00	8536.9	8539.9	8536.5	8539.4	300	0	1
2025.02.26	14:15:00	8539.5	8540.7	8536.8	8536.8	300	0	1
2025.02.26	14:20:00	8536.7	8538.2	8535.6	8537.6	300	0	1
2025.02.26	14:25:00	8537.7	8538.1	8536.2	8536.4	300	0	1
2025.02.26	14:30:00	8536.3	8536.4	8534.8	8535.6	300	0	1
2025.02.26	14:35:00	8535.7	8536.5	8534.3	8535.0	300	0	1
2025.02.26	14:40:00	8535.1	8536.9	8534.8	8536.4	300	0	1
2025.02.26	14:45:00	8536.3	8537.3	8535.1	8535.4	300	0	1
2025.02.26	14:50:00	8535.5	8539.2	8535.4	8539.2	300	0	1
2025.02.26	14:55:00	8539.3	8542.2	8539.2	8541.4	300	0	1
2025.02.26	15:00:00	8541.5	8542.3	8539.5	8542.2	300	0	1
2025.02.26	15:05:00	8542.1	8542.9	8540.8	8540.8	300	0	1
2025.02.26	15:10:00	8540.9	8544.3	8540.2	8543.8	300	0	1
2025.02.26	15:15:00	8543.7	8543.9	8539.5	8540.0	300	0	1
2025.02.26	15:20:00	8540.1	8540.5	8538.7	8539.0	300	0	1
2025.02.26	15:25:00	8538.9	8539.2	8536.9	8537.8	300	0	1
2025.02.26	15:30:00	8537.9	8540.7	8537.5	8539.6	300	0	1
2025.02.26	15:35:00	8539.5	8541.2	8538.6	8540.8	300	0	1
2025.02.26	15:40:00	8540.9	8543.8	8540.8	8543.2	300	0	1
2025.02.26	15:45:00	8543.1	8545.6	8542.7	8544.4	300	0	1
2025.02.26	15:50:00	8544.3	8546.6	8544.1	8546.2	300	0	1
2025.02.26	15:55:00	8546.1	8547.8	8545.4	8545.8	300	0	1
